Season,week,Home.Team,Road.Team,Home.Points,Road.Points,Vegas.H.R,H.R.pts,Halftime.H.R,Home.win
2010,1,New Orleans,Minnesota,14,9,5,5,-2,home win
2010,1,NY Giants,Carolina,31,18,6.5,13,-2,home win
2010,1,Pittsburgh,Atlanta,15,9,-2,6,0,home win
2010,1,Tampa Bay,Cleveland,17,14,3,3,-4,home win
2010,1,Jacksonville,Denver,24,17,3,7,0,home win
2010,1,Houston,Indianapolis,34,24,-2.5,10,3,home win
2010,1,Buffalo,Miami,10,15,-3,-5,-7,road win
2010,1,Chicago,Detroit,19,14,6.5,5,-1,home win
2010,1,Tennessee,Oakland,38,13,6,25,18,home win
2010,1,New England,Cincinnati,38,24,4.5,14,21,home win
2010,1,St. Louis,Arizona,13,17,-4,-4,0,road win
2010,1,Seattle,San Francisco,31,6,-3,25,8,home win
2010,1,Philadelphia,Green Bay,20,27,-3,-7,-10,road win
2010,1,Washington,Dallas,13,7,-3.5,6,10,home win
2010,1,NY Jets,Baltimore,9,10,2.5,-1,-1,road win
2010,1,Kansas City,San Diego,21,14,-4.5,7,14,home win
2010,2,Tennessee,Pittsburgh,11,19,5.5,-8,-10,road win
2010,2,Minnesota,Miami,10,14,5.5,-4,-7,road win
2010,2,Atlanta,Arizona,41,7,6.5,34,17,home win
2010,2,Cincinnati,Baltimore,15,10,-2.5,5,6,home win
2010,2,Cleveland,Kansas City,14,16,2,-2,4,road win
2010,2,Dallas,Chicago,20,27,7.5,-7,-6,road win
2010,2,Detroit,Philadelphia,32,35,-6,-3,-4,road win
2010,2,Green Bay,Buffalo,34,7,13,27,6,home win
2010,2,Carolina,Tampa Bay,7,20,3.5,-13,-7,road win
2010,2,Denver,Seattle,31,14,3.5,17,17,home win
2010,2,Oakland,St. Louis,16,14,3.5,2,-4,home win
2010,2,Washington,Houston,27,30,-3,-3,13,road win
2010,2,NY Jets,New England,28,14,-3,14,-4,home win
2010,2,San Diego,Jacksonville,38,13,7,25,15,home win
2010,2,Indianapolis,NY Giants,38,14,5.5,24,24,home win
2010,2,San Francisco,New Orleans,22,25,-5.5,-3,-2,road win
2010,3,NY Giants,Tennessee,10,29,3,-19,0,road win
2010,3,Tampa Bay,Pittsburgh,13,38,-3,-25,-22,road win
2010,3,Carolina,Cincinnati,7,20,-3,-13,-10,road win
2010,3,Baltimore,Cleveland,24,17,11,7,4,home win
2010,3,Houston,Dallas,13,27,3,-14,-7,road win
2010,3,Kansas City,San Francisco,31,10,-2.5,21,7,home win
2010,3,Minnesota,Detroit,24,10,11.5,14,4,home win
2010,3,New England,Buffalo,38,30,14,8,1,home win
2010,3,New Orleans,Atlanta,24,27,4,-3,0,road win
2010,3,St. Louis,Washington,30,16,-3.5,14,1,home win
2010,3,Jacksonville,Philadelphia,3,28,-3,-25,-11,road win
2010,3,Arizona,Oakland,24,23,4.5,1,-3,home win
2010,3,Seattle,San Diego,27,20,-5.5,7,10,home win
2010,3,Denver,Indianapolis,13,27,-5.5,-14,-10,road win
2010,3,Miami,NY Jets,23,31,2.5,-8,-4,road win
2010,3,Chicago,Green Bay,20,17,-3,3,-3,home win
2010,4,Atlanta,San Francisco,16,14,7,2,-3,home win
2010,4,Cleveland,Cincinnati,23,20,-3,3,3,home win
2010,4,Buffalo,NY Jets,14,38,-5.5,-24,-10,road win
2010,4,St. Louis,Seattle,20,3,-1,17,7,home win
2010,4,Tennessee,Denver,20,26,6.5,-6,0,road win
2010,4,Green Bay,Detroit,28,26,14.5,2,7,home win
2010,4,Pittsburgh,Baltimore,14,17,2.5,-3,-3,road win
2010,4,New Orleans,Carolina,16,14,13.5,2,3,home win
2010,4,Jacksonville,Indianapolis,31,28,-7,3,0,home win
2010,4,Oakland,Houston,24,31,-3,-7,0,road win
2010,4,Philadelphia,Washington,12,17,5.5,-5,-11,road win
2010,4,San Diego,Arizona,41,10,8,31,21,home win
2010,4,NY Giants,Chicago,17,3,3.5,14,3,home win
2010,4,Miami,New England,14,41,-1,-27,1,road win
2010,5,Indianapolis,Kansas City,19,9,7,10,3,home win
2010,5,Buffalo,Jacksonville,26,36,1,-10,0,road win
2010,5,Cincinnati,Tampa Bay,21,24,6.5,-3,3,road win
2010,5,Cleveland,Atlanta,10,20,-3,-10,1,road win
2010,5,Detroit,St. Louis,44,6,3,38,18,home win
2010,5,Baltimore,Denver,31,17,7,14,10,home win
2010,5,Carolina,Chicago,6,23,1.5,-17,-14,road win
2010,5,Washington,Green Bay,16,13,-2.5,3,-7,home win
2010,5,Houston,NY Giants,10,34,3,-24,-21,road win
2010,5,Arizona,New Orleans,30,20,-7,10,-3,home win
2010,5,Dallas,Tennessee,27,34,7,-7,-7,road win
2010,5,Oakland,San Diego,35,27,-6,8,-2,home win
2010,5,San Francisco,Philadelphia,24,27,3,-3,-7,road win
2010,5,NY Jets,Minnesota,29,20,4,9,9,home win
2010,6,NY Giants,Detroit,28,20,10,8,4,home win
2010,6,Philadelphia,Atlanta,31,17,2.5,14,14,home win
2010,6,Pittsburgh,Cleveland,28,10,13.5,18,4,home win
2010,6,Houston,Kansas City,35,31,4.5,4,-7,home win
2010,6,Tampa Bay,New Orleans,6,31,-4,-25,-17,road win
2010,6,Green Bay,Miami,20,23,3,-3,0,road win
2010,6,St. Louis,San Diego,20,17,-8,3,14,home win
2010,6,New England,Baltimore,23,20,2.5,3,-3,home win
2010,6,Chicago,Seattle,20,23,6.5,-3,-1,road win
2010,6,Denver,NY Jets,20,24,-3,-4,3,road win
2010,6,San Francisco,Oakland,17,9,6.5,8,-3,home win
2010,6,Minnesota,Dallas,24,21,1.5,3,-7,home win
2010,6,Washington,Indianapolis,24,27,-3,-3,-10,road win
2010,6,Jacksonville,Tennessee,3,30,-3,-27,-17,road win
2010,7,Carolina,San Francisco,23,20,-3,3,0,home win
2010,7,Tampa Bay,St. Louis,18,17,3,1,-11,home win
2010,7,Baltimore,Buffalo,37,34,13,3,-4,home win
2010,7,New Orleans,Cleveland,17,30,13,-13,-17,road win
2010,7,Miami,Pittsburgh,22,23,-3,-1,-1,road win
2010,7,Tennessee,Philadelphia,37,19,3,18,-6,home win
2010,7,Kansas City,Jacksonville,42,20,9,22,1,home win
2010,7,Chicago,Washington,14,17,3,-3,4,road win
2010,7,Atlanta,Cincinnati,39,32,3.5,7,21,home win
2010,7,Seattle,Arizona,22,10,6,12,10,home win
2010,7,San Diego,New England,20,23,3,-3,-10,road win
2010,7,Denver,Oakland,14,59,8.5,-45,-31,road win
2010,7,Green Bay,Minnesota,28,24,3,4,-3,home win
2010,7,Dallas,NY Giants,35,41,3,-6,-4,road win
2010,8,Detroit,Washington,37,25,2.5,12,-6,home win
2010,8,Dallas,Jacksonville,17,35,6.5,-18,-11,road win
2010,8,Cincinnati,Miami,14,22,1.5,-8,2,road win
2010,8,Kansas City,Buffalo,13,10,7.5,3,7,home win
2010,8,St. Louis,Carolina,20,10,3,10,7,home win
2010,8,San Francisco,Denver,24,16,2,8,3,home win
2010,8,NY Jets,Green Bay,0,9,6,-9,-3,road win
2010,8,San Diego,Tennessee,33,25,3.5,8,-5,home win
2010,8,Arizona,Tampa Bay,35,38,3,-3,-10,road win
2010,8,New England,Minnesota,38,18,6,20,0,home win
2010,8,Oakland,Seattle,33,3,2.5,30,10,home win
2010,8,New Orleans,Pittsburgh,20,10,1,10,0,home win
2010,8,Indianapolis,Houston,30,17,5.5,13,14,home win
2010,9,Minnesota,Arizona,27,24,8,3,-4,home win
2010,9,Buffalo,Chicago,19,22,-3,-3,0,road win
2010,9,Atlanta,Tampa Bay,27,21,8.5,6,3,home win
2010,9,Detroit,NY Jets,20,23,-4,-3,-3,road win
2010,9,Cleveland,New England,34,14,-4.5,20,10,home win
2010,9,Houston,San Diego,23,29,-3,-6,6,road win
2010,9,Baltimore,Miami,26,10,5.5,16,3,home win
2010,9,Carolina,New Orleans,3,34,-6.5,-31,-14,road win
2010,9,Seattle,NY Giants,7,41,-7,-34,-35,road win
2010,9,Philadelphia,Indianapolis,26,24,3,2,-1,home win
2010,9,Oakland,Kansas City,23,20,1,3,-10,home win
2010,9,Green Bay,Dallas,45,7,7.5,38,21,home win
2010,9,Cincinnati,Pittsburgh,21,27,-5,-6,-13,road win
2010,10,Atlanta,Baltimore,26,21,1,5,10,home win
2010,10,Buffalo,Detroit,14,12,3,2,4,home win
2010,10,Chicago,Minnesota,27,13,-1,14,4,home win
2010,10,Cleveland,NY Jets,20,26,-3,-6,-4,road win
2010,10,Miami,Tennessee,29,17,-2,12,0,home win
2010,10,Indianapolis,Cincinnati,23,17,7,6,10,home win
2010,10,Jacksonville,Houston,31,24,1.5,7,14,home win
2010,10,Tampa Bay,Carolina,31,16,7,15,11,home win
2010,10,Denver,Kansas City,49,29,-1,20,25,home win
2010,10,Arizona,Seattle,18,36,3,-18,-7,road win
2010,10,NY Giants,Dallas,20,33,13.5,-13,-13,road win
2010,10,San Francisco,St. Louis,23,20,6,3,0,home win
2010,10,Pittsburgh,New England,26,39,4.5,-13,-7,road win
2010,10,Washington,Philadelphia,28,59,-3,-31,-31,road win
2010,11,Miami,Chicago,0,16,1.5,-16,-6,road win
2010,11,Minnesota,Green Bay,3,31,-3,-28,-14,road win
2010,11,Tennessee,Washington,16,19,7,-3,0,road win
2010,11,Kansas City,Arizona,31,13,8,18,11,home win
2010,11,Dallas,Detroit,35,19,6.5,16,-3,home win
2010,11,Cincinnati,Buffalo,31,49,5.5,-18,17,road win
2010,11,Carolina,Baltimore,13,37,-11,-24,-14,road win
2010,11,Jacksonville,Cleveland,24,20,1.5,4,3,home win
2010,11,Pittsburgh,Oakland,35,3,7,32,18,home win
2010,11,NY Jets,Houston,30,27,7,3,6,home win
2010,11,New Orleans,Seattle,34,19,11.5,15,11,home win
2010,11,San Francisco,Tampa Bay,0,21,3,-21,-7,road win
2010,11,St. Louis,Atlanta,17,34,-3,-17,-6,road win
2010,11,New England,Indianapolis,31,28,3.5,3,7,home win
2010,11,Philadelphia,NY Giants,27,17,3,10,10,home win
2010,11,San Diego,Denver,35,14,10,21,14,home win
2010,12,Detroit,New England,24,45,-6.5,-21,7,road win
2010,12,Dallas,New Orleans,27,30,-4,-3,-14,road win
2010,12,NY Jets,Cincinnati,26,10,9,16,-4,home win
2010,12,NY Giants,Jacksonville,24,20,7,4,-11,home win
2010,12,Washington,Minnesota,13,17,-1,-4,0,road win
2010,12,Baltimore,Tampa Bay,17,10,7.5,7,14,home win
2010,12,Houston,Tennessee,20,0,6.5,20,14,home win
2010,12,Cleveland,Carolina,24,23,9.5,1,8,home win
2010,12,Chicago,Philadelphia,31,26,-3.5,5,8,home win
2010,12,Buffalo,Pittsburgh,16,19,-6.5,-3,-13,road win
2010,12,Atlanta,Green Bay,20,17,2,3,7,home win
2010,12,Oakland,Miami,17,33,2.5,-16,1,road win
2010,12,Seattle,Kansas City,24,42,-1.5,-18,-11,road win
2010,12,Denver,St. Louis,33,36,3.5,-3,-13,road win
2010,12,Indianapolis,San Diego,14,36,2.5,-22,-2,road win
2010,12,Arizona,San Francisco,6,27,-1,-21,-15,road win
2010,13,Philadelphia,Houston,34,24,8.5,10,10,home win
2010,13,NY Giants,Washington,31,7,7,24,21,home win
2010,13,Tampa Bay,Atlanta,24,28,-3,-4,0,road win
2010,13,Kansas City,Denver,10,6,8,4,7,home win
