Height,Weight,Pos,GK,Height-71
72,160,D,0,1
71,154,F,0,0
69,155,D,0,-2
73,165,M,0,2
73,168,M,0,2
71,180,F,0,0
70,170,M,0,-1
75,185,GK,1,4
72,155,D,0,1
70,165,D,0,-1
68,145,M,0,-3
67,140,M,0,-4
69,155,D,0,-2
70,180,D,0,-1
70,170,GK,1,-1
79,195,GK,1,8
69,170,D,0,-2
71,150,M,0,0
74,178,F,0,3
78,210,D,0,7
73,175,F,0,2
74,187,D,0,3
73,160,F,0,2
76,172,F,0,5
69,140,D,0,-2
69,169,F,0,-2
77,185,GK,1,6
73,185,D,0,2
73,163,D,0,2
70,160,D,0,-1
72,160,D,0,1
73,175,D,0,2
72,170,GK,1,1
73,175,GK,1,2
77,185,D,0,6
73,175,D,0,2
72,170,D,0,1
68,165,F,0,-3
70,165,F,0,-1
73,180,GK,1,2
71,150,F,0,0
67,150,F,0,-4
72,160,D,0,1
73,180,F,0,2
73,175,F,0,2
73,195,GK,1,2
74,190,D,0,3
71,160,D,0,0
76,170,GK,1,5
72,160,F,0,1
72,165,GK,1,1
72,160,D,0,1
72,155,F,0,1
71,155,D,0,0
72,160,F,0,1
69,150,F,0,-2
69,162,D,0,-2
73,165,D,0,2
73,185,GK,1,2
72,175,GK,1,1
76,170,GK,1,5
69,155,M,0,-2
70,165,D,0,-1
70,160,M,0,-1
75,165,D,0,4
71,152,D,0,0
71,165,F,0,0
71,197,F,0,0
72,150,F,0,1
67,140,M,0,-4
73,170,F,0,2
72,175,D,0,1
67,150,F,0,-4
67,145,M,0,-4
67,140,M,0,-4
72,165,D,0,1
72,175,D,0,1
70,160,M,0,-1
74,195,D,0,3
74,170,D,0,3
73,162,F,0,2
74,165,D,0,3
72,150,M,0,1
71,159,F,0,0
71,150,M,0,0
73,158,F,0,2
70,155,M,0,-1
74,200,GK,1,3
75,195,GK,1,4
71,165,GK,1,0
74,195,GK,1,3
73,165,D,0,2
72,175,D,0,1
72,175,D,0,1
69,155,D,0,-2
71,145,M,0,0
68,160,F,0,-3
68,160,M,0,-3
69,150,M,0,-2
73,165,M,0,2
68,150,M,0,-3
72,170,D,0,1
72,185,M,0,1
72,175,D,0,1
74,160,D,0,3
71,160,M,0,0
69,170,F,0,-2
69,160,F,0,-2
72,170,F,0,1
72,145,M,0,1
69,160,M,0,-2
73,165,M,0,2
71,170,M,0,0
69,150,F,0,-2
75,185,F,0,4
68,150,D,0,-3
74,190,GK,1,3
71,165,GK,1,0
71,150,GK,1,0
69,165,D,0,-2
73,180,D,0,2
69,140,M,0,-2
73,185,D,0,2
68,150,M,0,-3
70,170,M,0,-1
71,163,M,0,0
71,145,M,0,0
69,150,M,0,-2
70,160,M,0,-1
69,155,F,0,-2
69,140,F,0,-2
68,150,D,0,-3
72,165,D,0,1
68,150,D,0,-3
72,160,D,0,1
72,170,F,0,1
72,165,D,0,1
66,150,D,0,-5
77,180,M,0,6
72,175,M,0,1
73,165,D,0,2
72,180,GK,1,1
67,145,M,0,-4
70,145,D,0,-1
67,150,D,0,-4
69,140,M,0,-2
68,165,F,0,-3
72,165,D,0,1
68,160,F,0,-3
68,150,M,0,-3
65,140,M,0,-6
69,170,D,0,-2
77,205,M,0,6
69,165,D,0,-2
69,155,F,0,-2
74,175,M,0,3
71,175,M,0,0
69,165,D,0,-2
72,195,D,0,1
67,155,D,0,-4
73,160,F,0,2
71,180,D,0,0
67,150,M,0,-4
74,180,GK,1,3
69,150,GK,1,-2
73,180,GK,1,2
70,155,D,0,-1
68,150,M,0,-3
68,145,D,0,-3
65,145,M,0,-6
69,160,M,0,-2
68,150,D,0,-3
72,180,D,0,1
70,160,M,0,-1
70,150,M,0,-1
66,160,F,0,-5
69,145,D,0,-2
70,150,M,0,-1
67,130,M,0,-4
72,185,F,0,1
74,175,M,0,3
69,155,M,0,-2
69,190,D,0,-2
69,155,M,0,-2
70,174,D,0,-1
72,145,F,0,1
69,159,F,0,-2
72,195,D,0,1
69,155,GK,1,-2
73,185,GK,1,2
74,205,D,0,3
72,200,D,0,1
72,188,F,0,1
71,165,M,0,0
75,200,D,0,4
71,168,M,0,0
69,150,M,0,-2
70,160,M,0,-1
70,185,D,0,-1
66,150,M,0,-5
71,165,D,0,0
66,145,M,0,-5
72,170,D,0,1
74,185,M,0,3
69,160,M,0,-2
69,145,D,0,-2
68,135,M,0,-3
71,155,M,0,0
66,145,M,0,-5
70,180,D,0,-1
69,145,F,0,-2
71,155,F,0,0
74,200,F,0,3
75,198,GK,1,4
71,160,D,0,0
74,215,GK,1,3
71,180,D,0,0
69,148,M,0,-2
72,170,GK,1,1
71,140,GK,1,0
73,175,GK,1,2
72,165,GK,1,1
73,160,D,0,2
68,140,D,0,-3
68,160,D,0,-3
74,180,M,0,3
66,135,M,0,-5
70,160,M,0,-1
70,150,M,0,-1
71,170,F,0,0
71,170,F,0,0
69,155,F,0,-2
75,165,D,0,4
72,160,D,0,1
72,165,M,0,1
72,165,M,0,1
68,150,D,0,-3
69,160,M,0,-2
73,170,D,0,2
74,160,M,0,3
74,195,D,0,3
75,168,M,0,4
73,163,M,0,2
74,170,D,0,3
73,185,D,0,2
65,130,F,0,-6
70,170,F,0,-1
70,155,D,0,-1
71,165,D,0,0
71,155,M,0,0
71,160,D,0,0
71,175,F,0,0
63,130,F,0,-8
67,150,M,0,-4
68,160,D,0,-3
69,155,F,0,-2
69,150,F,0,-2
72,175,D,0,1
72,165,D,0,1
72,170,F,0,1
73,185,GK,1,2
74,180,M,0,3
74,200,D,0,3
74,190,D,0,3
74,175,GK,1,3
75,190,F,0,4
76,175,M,0,5
72,175,GK,1,1
73,190,GK,1,2
74,185,F,0,3
68,150,F,0,-3
68,155,F,0,-3
72,165,D,0,1
71,170,F,0,0
76,190,D,0,5
73,195,F,0,2
71,170,D,0,0
71,170,F,0,0
72,160,GK,1,1
75,200,GK,1,4
70,170,M,0,-1
70,170,F,0,-1
70,155,F,0,-1
71,175,M,0,0
71,182,F,0,0
71,175,D,0,0
71,160,D,0,0
71,170,D,0,0
71,170,D,0,0
71,175,M,0,0
71,161,D,0,0
67,165,M,0,-4
68,155,GK,1,-3
68,130,M,0,-3
68,150,D,0,-3
69,148,M,0,-2
69,165,M,0,-2
69,150,M,0,-2
72,180,GK,1,1
72,182,D,0,1
73,170,F,0,2
74,180,D,0,3
74,185,D,0,3
74,183,D,0,3
74,170,GK,1,3
74,180,F,0,3
67,160,M,0,-4
70,170,M,0,-1
68,150,D,0,-3
69,165,M,0,-2
70,165,F,0,-1
70,185,D,0,-1
67,145,F,0,-4
73,165,M,0,2
70,160,D,0,-1
70,185,F,0,-1
71,150,M,0,0
65,155,D,0,-6
69,145,D,0,-2
69,150,M,0,-2
70,150,D,0,-1
74,165,M,0,3
70,160,F,0,-1
69,150,D,0,-2
74,175,M,0,3
72,160,D,0,1
70,155,GK,1,-1
74,190,GK,1,3
75,180,GK,1,4
70,165,GK,1,-1
71,160,GK,1,0
70,165,GK,1,-1
